,name,text,time
0,AppleRTweet,b'RT @UNBOXit78: Here it is GUYS!!\niPhone 12 Unboxing is finally Done!\nDo watch it &amp; leave a comment\nLink : https://t.co/CwbP1dFyxJ\n.\n.\n.\n.',Mon Nov 02 15:15:47 +0000 2020
1,ALABDULLATIF,b'   \n  \n iPhone 12\n\n  \n  \n  \n\n  https://t.co/hbPLSivZ79',Mon Nov 02 15:15:55 +0000 2020
2,baenjamad,b'RT @nncoconn9: 3 #iPhone12   @425DEGREE 100 ',Mon Nov 02 15:15:57 +0000 2020
3,a5k3l,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:01 +0000 2020
4,arooojh1403hh,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:04 +0000 2020
5,almlk2040,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:04 +0000 2020
6,e7D5HoFnGWCu54n,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:04 +0000 2020
7,abu_nayef1212,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:05 +0000 2020
8,h_e333,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:05 +0000 2020
9,umahmad1222,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:05 +0000 2020
10,nnn__81,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:06 +0000 2020
11,wqmonq1,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:06 +0000 2020
12,1ixxvl,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:06 +0000 2020
13,Otb511Meme,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:06 +0000 2020
14,beesso90,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:07 +0000 2020
15,afhdsny,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:07 +0000 2020
16,Saramohmad390,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:07 +0000 2020
17,benttalforat,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:08 +0000 2020
18,helalo2030,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:08 +0000 2020
19,um_3zoz22,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:09 +0000 2020
20,Roor200191,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:09 +0000 2020
21,faisal110559,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:09 +0000 2020
22,samooooooor777,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:09 +0000 2020
23,NSFwTaM3B5eAssx,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:09 +0000 2020
24,joudy_19,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:09 +0000 2020
25,mma22233,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:09 +0000 2020
26,saad97216399,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:10 +0000 2020
27,abSalman21,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:10 +0000 2020
28,mohmmeadalkhiri,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:10 +0000 2020
29,gamila1231,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:10 +0000 2020
30,esesr12,b'RT @ALABDULLATIF:      \n  | 10  #iPhone12\n\n\n  \n  \n  ',Mon Nov 02 15:16:11 +0000 2020
31,bonxcz,b'RT @ALABDULLATIF:    \n  \n iPhone 12\n\n  \n  \n  \n\n ',Mon Nov 02 15:16:12 +0000 2020
