,name,text,time
0,eikichidubled,"b""RT @HubsideFR: [#CONCOURS ] \n\nL'iPhone12 : pas encore sorti, @HubsideFR vous l'offre dj ! \n\nPour participer  RT + Follow \n\nTirage au so""",Wed Oct 28 14:42:59 +0000 2020
1,iTrackr_fr,"b'iPhoneAddict : LiPhone 12 Pro passe aux tests de rsistance, rayures et au briquet #iPhone12Pro https://t.co/5Giow74blx'",Wed Oct 28 14:43:03 +0000 2020
2,ViaTecnologica,"b'Para los que han desplegado su odio crudo contra #Apple por haber eliminado el adaptador en #iphone12, les tenemos https://t.co/gFZvjqKmlC'",Wed Oct 28 14:43:05 +0000 2020
3,Aegonthemummer,"b""Lmao wasn't this obvious""",Wed Oct 28 14:43:07 +0000 2020
4,Jord1511,"b'RT @theMrMobile: I filmed a weekend in Philadelphia through the lens of the latest iPhone!\n\nJoin me for a blast of a road trip, from contro'",Wed Oct 28 14:43:08 +0000 2020
5,GNerulla,b'Modi facing up terrible consequences of his mistake against #Farmers #SFJ believes in #BALLOT not #BULLET support https://t.co/zt9dfTQbCe',Wed Oct 28 14:43:08 +0000 2020
6,MCommentry,"b""That's Business !! \n#iphone12 https://t.co/y7ahtJz6ri""",Wed Oct 28 14:43:10 +0000 2020
7,ADGArrio,"b'RT @iAm_erica: Hehe that #MagSafe puck really does work with everything... well, almost everything. The EMR tech of the S Pen isnt appreci'",Wed Oct 28 14:43:24 +0000 2020
8,AppleRTweet,"b'RT @ViaTecnologica: Para los que han desplegado su odio crudo contra #Apple por haber eliminado el adaptador en #iphone12, les tenemos noti'",Wed Oct 28 14:43:26 +0000 2020
9,cocage55,b'#iPhone12Pro  \n',Wed Oct 28 14:43:33 +0000 2020
10,micro_seconds,b'#iphone #iphone12\n---------------\nMicroSECONDS Computer Consulting | On-site Computer and tech services in the San https://t.co/bZ0QW814oB',Wed Oct 28 14:43:36 +0000 2020
11,mikem784,"b'RT @iblason: Our full #iPhone12 collection of cases is now on Amazon.  Choose from the 20-ft drop tested Ares, the strong and stylish Cos'",Wed Oct 28 14:43:50 +0000 2020
12,Johnathanblade,"b'RT @theMrMobile: I filmed a weekend in Philadelphia through the lens of the latest iPhone!\n\nJoin me for a blast of a road trip, from contro'",Wed Oct 28 14:44:12 +0000 2020
13,flowwbott1,b'RT @JakeWeld1: I applaude the iPhone 12 for its measuring feature. Do you have any idea how many women are going to be saved from unwanted',Wed Oct 28 14:44:24 +0000 2020
14,borico1103,b'RT @kitcut_live: #iPhone12 #iPhone12Pro \n\n12\nMagSafeUSB Type-C\n\nApple\n\n@kitcut_live',Wed Oct 28 14:44:28 +0000 2020
15,saraaahaley,b'@supcase_atl is giving away an #iPhone12 and this could be the tweet the wins! Enter everyday to increase your chan https://t.co/ZewXqBbQsw',Wed Oct 28 14:44:34 +0000 2020
16,x_aoao1,b'RT @_moemoka: Vlog file#93 \n\n\n\niPhone12Pro\n\n\n\n\n\n\n2\n',Wed Oct 28 14:44:46 +0000 2020
17,kotume_chan,b'RT @ryoiwa23: Iphone12 pro\n\n\n\n#\n# \n# \n\n# # \n# \n#Iphone12 #iP',Wed Oct 28 14:45:00 +0000 2020
18,kenkosa_n,b'Android\n\n#iPhone12Pro https://t.co/AF1GMun9Xq',Wed Oct 28 14:45:15 +0000 2020
19,PP2rxa,b'RT @rose76com:     5 \n#iPhone12 \n   \n   \n  \n#__',Wed Oct 28 14:45:20 +0000 2020
20,melaneeju,"b""RT @HubsideFR: [#CONCOURS ] \n\nL'iPhone12 : pas encore sorti, @HubsideFR vous l'offre dj ! \n\nPour participer  RT + Follow \n\nTirage au so""",Wed Oct 28 14:45:25 +0000 2020
21,xoxosssxoxo,b'RT @BrightMinho:  iPhone 12 Pro\n\n     LiDAR scanner \n\n..',Wed Oct 28 14:45:27 +0000 2020
22,MWAM_235,b'RT @jon_prosser: Night mode is witch craft. #iPhone12Pro \n\nReality                          Night mode https://t.co/iGbco0uKkE',Wed Oct 28 14:46:02 +0000 2020
23,lll_81101,b'RT @veuy__:  #iPhone12 https://t.co/m5Uo4UowJv',Wed Oct 28 14:46:30 +0000 2020
24,rvjaBjfG7StIvie,b'RT @giveawayKSA1: \n   #_\n\n    #  40    \n    10.200  \n\n#_\n#FIFA21\n\n',Wed Oct 28 14:46:34 +0000 2020
25,_acheaw,"b'RT @AppleTerminal: News:\n\n#iPhone12 display units are starting to see paint chip away from the flat edges, while likely due to the frequent'",Wed Oct 28 14:46:35 +0000 2020
26,TAKASEY88,b'RT @_moemoka: Vlog file#93 \n\n\n\niPhone12Pro\n\n\n\n\n\n\n2\n',Wed Oct 28 14:47:01 +0000 2020
27,atagon,b'#iPhone12Pro \n\n https://t.co/J6lJeCMIAm',Wed Oct 28 14:47:06 +0000 2020
28,rvjaBjfG7StIvie,b'RT @giveawayKSA1: \n   #_\n\n    #12   512GB \n    6200  \n\n#_\n#FIFA21\n\n',Wed Oct 28 14:47:29 +0000 2020
29,henklbr,"b""@ASB_YT Nice , but obviously she doesn't like the #iPhone12Pro """,Wed Oct 28 14:47:30 +0000 2020
30,b1435a_sa,b'RT @giveawayKSA1: \n   #_\n\n    #  40    \n    10.200  \n\n#_\n#FIFA21\n\n',Wed Oct 28 14:47:31 +0000 2020
31,PhilipTBoosey,"b'RT @AppleEventTimer: Preorders for iPhone 12 mini, iPhone 12 Pro Max and HomePod mini will start in 9 days. \n#AppleEvent #iPhone12 https://'",Wed Oct 28 14:47:36 +0000 2020
32,Codwg,b'RT @AZAYER_: ***  *** # #  \n\n  \n\n3     # #_ \n  \n#',Wed Oct 28 14:48:02 +0000 2020
33,H6SIavHQw7QdDRh,b'RT @AndroidAuth: The charger-less iPhone 12 isnt as eco-friendly as Apple wants you to think.\nRead more: https://t.co/973YfAqnx1 \n\n#techno',Wed Oct 28 14:48:02 +0000 2020
34,Codwg,b'RT @AZAYER_: # \n# # #\n\n\n#_3 #iPhone12Pro\n50   1\n\n#_5 #SA',Wed Oct 28 14:48:02 +0000 2020
35,TravisMcP,"b'Make sure to check this out.  Some of you are aware my first podcast ever was called ""Scrapple Sandwich"" and my int https://t.co/1p7nUGGQGl'",Wed Oct 28 14:48:10 +0000 2020
36,ImpactFxTrader,"b""RT @Dayoawe1: \n***TATCOIN***\nHave you been looking for how to invest in a new Crypto currency? TATCOIN is the Africa's Utility Token. R""",Wed Oct 28 14:48:13 +0000 2020
37,Codwg,"b'RT @AZAYER_: #___\n\n#_1\n15 = 13,250\n\n#_2\n - -'",Wed Oct 28 14:48:29 +0000 2020
38,Codwg,"b'RT @azayerthobe: #___\n\n#_1\n15 = 13,250\n\n#_2\n - -'",Wed Oct 28 14:48:32 +0000 2020
39,b1435a_sa,b'RT @giveawayKSA1: \n   #_\n\n    #12   512GB \n    6200  \n\n#_\n#FIFA21\n\n',Wed Oct 28 14:48:37 +0000 2020
40,pokosuke77777,b'RT @SB_shizumina: \n#SoftBank \n\n\nhttps://t.co/bfBEjsUic7\n\n# #Softbank #iPhone12 #iPhone12Pro\n# # # #',Wed Oct 28 14:48:39 +0000 2020
41,Filmize_nekar,b'RT @konchan0405: #iPhone12Pro  \n\n#USJ \n#USJ\n# https://t.co/JKw9kD48oG',Wed Oct 28 14:48:47 +0000 2020
